演算チャンネル,(1)CA-CH01:Channel01
窓関数,長方形
演算点数,100000
演算モード,リニアスペクトル
微積分設定,微積分しない
演算範囲,最新データ
オーバーオール(dBrms),10.2816
,0dB=1m/s^2
周波数(Hz),データ(dB)
31.7,-46.2437
31.8,-45.7739
31.9,-46.3721
32,-46.5482
32.1,-46.2796
32.2,-45.6839
32.3,-46.0751
32.4,-46.5741
32.5,-46.5407
32.6,-46.6943
32.7,-46.4823
32.8,-46.3131
32.9,-46.5096
33,-47.1135
33.1,-46.9898
33.2,-46.3011
33.3,-46.558
33.4,-47.6382
33.5,-46.9894
33.6,-46.9431
33.7,-46.5089
33.8,-46.6631
33.9,-46.9618
34,-47.3643
34.1,-46.9051
34.2,-46.3207
34.3,-46.6594
34.4,-46.8547
34.5,-46.9522
34.6,-46.6753
34.7,-46.0554
34.8,-46.2374
34.9,-46.8798
35,-47.1549
35.1,-46.998
35.2,-46.3419
35.3,-46.7523
35.4,-46.9739
35.5,-47.2802
35.6,-47.1598
35.7,-46.1968
35.8,-46.4581
35.9,-46.9699
36,-47.288
36.1,-47.9089
36.2,-46.5665
36.3,-46.3832
36.4,-47.742
36.5,-47.814
36.6,-47.0668
36.7,-46.9447
36.8,-46.8393
36.9,-46.8492
37,-47.3549
37.1,-47.8047
37.2,-47.4887
37.3,-47.1211
37.4,-47.12
37.5,-47.0626
37.6,-47.7042
37.7,-47.3189
37.8,-46.5225
37.9,-46.4932
38,-47.4411
38.1,-47.6952
38.2,-47.4027
38.3,-47.5541
38.4,-46.5855
38.5,-47.2877
38.6,-47.5173
38.7,-47.1628
38.8,-47.0054
38.9,-46.3882
39,-48.0327
39.1,-47.5392
39.2,-48.0465
39.3,-46.9223
39.4,-46.884
39.5,-48.1507
39.6,-47.5067
39.7,-47.6944
39.8,-47.4789
39.9,-47.1974
40,-47.3581
40.1,-47.9841
40.2,-48.5983
40.3,-47.1433
40.4,-47.1201
40.5,-47.2273
40.6,-48.4979
40.7,-48.5649
40.8,-47.1526
40.9,-47.0152
41,-47.3031
41.1,-48.0765
41.2,-48.1951
41.3,-47.9016
41.4,-47.0594
41.5,-46.6634
41.6,-47.5792
41.7,-48.6331
41.8,-48.1825
41.9,-46.4555
42,-46.7392
42.1,-48.3044
42.2,-48.0512
42.3,-48.4572
42.4,-47.1493
42.5,-47.3156
42.6,-47.6328
42.7,-48.3114
42.8,-48.7109
42.9,-48.0998
43,-46.5627
43.1,-46.9079
43.2,-48.1226
43.3,-49.363
43.4,-47.3284
43.5,-46.7653
43.6,-46.9812
43.7,-48.4677
43.8,-48.6417
43.9,-47.5848
44,-46.7792
44.1,-47.0705
44.2,-47.7043
44.3,-48.3486
44.4,-48.4171
44.5,-47.1556
44.6,-46.9315
44.7,-47.8992
44.8,-48.8829
44.9,-48.3334
45,-47.2258
45.1,-46.7123
45.2,-47.398
45.3,-48.5005
45.4,-48.7383
45.5,-47.4025
45.6,-46.9432
45.7,-47.1456
45.8,-47.8825
45.9,-48.792
46,-48.16
46.1,-46.9807
46.2,-47.3833
46.3,-47.994
46.4,-48.7893
46.5,-47.6759
46.6,-47.425
46.7,-47.3775
46.8,-47.7568
46.9,-48.9452
47,-48.0683
47.1,-47.578
47.2,-47.0162
47.3,-47.6735
47.4,-48.639
47.5,-48.2938
47.6,-47.6639
47.7,-47.2608
47.8,-47.6523
47.9,-48.6103
48,-48.4199
48.1,-47.4228
48.2,-47.3792
48.3,-47.5757
48.4,-48.6732
48.5,-47.8368
48.6,-47.7142
48.7,-46.99
48.8,-47.1574
48.9,-47.6737
49,-48.7181
49.1,-47.9211
49.2,-46.5875
49.3,-45.1619
49.4,-49.1767
49.5,-48.2251
49.6,-44.9932
49.7,-49.8204
49.8,-48.0031
49.9,-46.2454
