演算チャンネル,(1)CA-CH01:Channel01
窓関数,長方形
演算点数,100000
演算モード,リニアスペクトル
微積分設定,微積分しない
演算範囲,最新データ
オーバーオール(dBrms),16.869
,0dB=1m/s^2
周波数(Hz),データ(dB)
31.8,-58.4357
31.9,-58.4807
32,-57.2872
32.1,-57.6459
32.2,-58.7526
32.3,-58.8689
32.4,-58.1764
32.5,-57.5014
32.6,-57.443
32.7,-57.9922
32.8,-58.5061
32.9,-58.7758
33,-58.0941
33.1,-57.4533
33.2,-57.3438
33.3,-59.3008
33.4,-58.4245
33.5,-57.7167
33.6,-57.0068
33.7,-57.3009
33.8,-58.7354
33.9,-58.9054
34,-57.9853
34.1,-57.0886
34.2,-57.2393
34.3,-58.265
34.4,-59.6619
34.5,-58.4548
34.6,-57.7488
34.7,-57.198
34.8,-57.3167
34.9,-58.5836
35,-58.9108
35.1,-58.0384
35.2,-56.6001
35.3,-56.9098
35.4,-58.4041
35.5,-60.2275
35.6,-59.1027
35.7,-56.253
35.8,-57.131
35.9,-57.5406
36,-59.0337
36.1,-58.3216
36.2,-56.5203
36.3,-56.504
36.4,-57.3326
36.5,-59.1276
36.6,-59.7753
36.7,-57.7678
36.8,-56.3387
36.9,-56.6934
37,-57.9074
37.1,-58.8126
37.2,-58.7084
37.3,-56.0679
37.4,-55.8037
37.5,-58.2676
37.6,-59.883
37.7,-60.2744
37.8,-56.1111
37.9,-55.5889
38,-56.7055
38.1,-59.8919
38.2,-59.4419
38.3,-58.1283
38.4,-56.0688
38.5,-56.1788
38.6,-58.8426
38.7,-59.1047
38.8,-59.2267
38.9,-57.127
39,-56.501
39.1,-59.0257
39.2,-59.8083
39.3,-61.6484
39.4,-57.8924
39.5,-56.012
39.6,-57.5472
39.7,-60.9936
39.8,-61.317
39.9,-57.9385
40,-56.2096
40.1,-57.1815
40.2,-58.791
40.3,-61.6261
40.4,-57.8409
40.5,-56.3336
40.6,-56.5166
40.7,-57.4953
40.8,-60.5662
40.9,-58.8911
41,-57.0202
41.1,-56.5654
41.2,-57.7148
41.3,-58.9808
41.4,-61.057
41.5,-57.8199
41.6,-55.6768
41.7,-57.7104
41.8,-58.7799
41.9,-60.6889
42,-57.6204
42.1,-55.2476
42.2,-56.2161
42.3,-58.2147
42.4,-61.2492
42.5,-58.0877
42.6,-56.1328
42.7,-55.8205
42.8,-57.1027
42.9,-59.8239
43,-59.517
43.1,-57.3387
43.2,-56.2904
43.3,-56.8243
43.4,-59.5669
43.5,-59.9539
43.6,-57.833
43.7,-57.2715
43.8,-56.9128
43.9,-56.8312
44,-59.1281
44.1,-58.6622
44.2,-56.7983
44.3,-56.6298
44.4,-57.6062
44.5,-58.7666
44.6,-60.0074
44.7,-58.2808
44.8,-56.9033
44.9,-56.9045
45,-57.8087
45.1,-59.2754
45.2,-58.6096
45.3,-57.9907
45.4,-56.4604
45.5,-58.13
45.6,-58.795
45.7,-59.6472
45.8,-58.101
45.9,-56.9267
46,-57.3083
46.1,-57.9002
46.2,-59.5458
46.3,-58.9708
46.4,-56.9223
46.5,-56.9369
46.6,-58.1314
46.7,-58.9379
46.8,-59.5159
46.9,-57.6109
47,-56.5382
47.1,-57.4455
47.2,-58.5977
47.3,-60.1046
47.4,-58.5756
47.5,-57.7013
47.6,-57.0038
47.7,-57.8047
47.8,-58.9455
47.9,-58.4066
48,-57.3849
48.1,-57.2124
48.2,-57.5178
48.3,-58.6446
48.4,-59.4237
48.5,-58.1519
48.6,-57.1074
48.7,-57.1285
48.8,-58.3602
48.9,-59.6367
49,-58.974
49.1,-56.7761
49.2,-58.0526
49.3,-58.3256
49.4,-63.7787
49.5,-56.7515
49.6,-58.0138
49.7,-49.3509
49.8,-52.4795
49.9,-53.2466
50,-50.3913
50.1,-62.197
50.2,-60.7326
50.3,-58.6459
50.4,-58.5336
50.5,-60.2666
50.6,-59.6194
50.7,-58.47
50.8,-57.0436
50.9,-57.8739
51,-59.3391
51.1,-59.921
51.2,-58.3132
51.3,-56.7069
51.4,-56.8764
51.5,-58.3535
51.6,-59.4747
51.7,-59.0851
51.8,-57.2861
51.9,-56.8191
52,-57.6436
52.1,-59.2483
52.2,-60.1294
52.3,-58.2724
52.4,-56.3623
52.5,-56.9138
52.6,-58.959
52.7,-60.5251
52.8,-58.7759
52.9,-56.7449
53,-56.5259
53.1,-57.8398
53.2,-60.2169
53.3,-59.7122
53.4,-56.9831
53.5,-55.6549
53.6,-56.9565
53.7,-59.7135
53.8,-60.9175
53.9,-58.0345
54,-56.0879
54.1,-56.7881
54.2,-58.4919
54.3,-60.6839
54.4,-58.391
54.5,-56.2248
54.6,-56.355
54.7,-57.8865
54.8,-61.27
54.9,-59.094
55,-56.6432
55.1,-56.0987
55.2,-57.2793
55.3,-59.702
55.4,-59.5604
55.5,-57.7221
55.6,-56.313
55.7,-56.6392
55.8,-59.5524
55.9,-60.068
56,-58.4771
56.1,-56.9169
56.2,-55.873
56.3,-57.6645
56.4,-60.2008
56.5,-59.1312
56.6,-57.4579
56.7,-56.2769
56.8,-57.1305
56.9,-59.5166
57,-60.1508
57.1,-57.5224
57.2,-56.514
57.3,-56.9397
57.4,-58.6399
57.5,-60.079
57.6,-58.4321
57.7,-56.7935
57.8,-56.9267
57.9,-57.6999
58,-60.4667
58.1,-59.2465
58.2,-57.2117
58.3,-55.8934
58.4,-57.2415
58.5,-59.0077
58.6,-59.9235
58.7,-57.8326
58.8,-56.1526
58.9,-56.7811
59,-58.4322
59.1,-60.1967
59.2,-58.3654
59.3,-56.2613
59.4,-56.6138
59.5,-57.4492
59.6,-59.6431
59.7,-58.7988
59.8,-56.8743
59.9,-56.6315
60,-57.6774
60.1,-58.7781
60.2,-58.9035
60.3,-57.6345
60.4,-56.8864
60.5,-57.5043
60.6,-58.0395
60.7,-58.9704
60.8,-57.968
60.9,-57.3701
61,-57.5687
61.1,-57.8172
61.2,-58.6707
61.3,-58.3237
61.4,-57.9743
61.5,-57.1549
61.6,-57.4699
61.7,-58.2801
61.8,-58.8237
61.9,-58.0716
62,-57.6138
62.1,-57.4676
62.2,-57.7869
62.3,-58.5649
62.4,-58.2885
62.5,-57.316
62.6,-57.6191
62.7,-57.651
62.8,-57.9094
62.9,-58.4655
63,-58.1607
63.1,-57.185
63.2,-57.6336
63.3,-57.901
63.4,-58.4531
63.5,-58.7248
63.6,-57.9715
