#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:19:47,475000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:19:47,475000,-0.732
2010/11/03 02:19:47,475200,3.858
2010/11/03 02:19:47,475400,2.780
2010/11/03 02:19:47,475600,-3.476
2010/11/03 02:19:47,475800,-3.982
2010/11/03 02:19:47,476000,7.148
2010/11/03 02:19:47,476200,2.046
2010/11/03 02:19:47,476400,-4.336
2010/11/03 02:19:47,476600,-5.432
2010/11/03 02:19:47,476800,1.148
2010/11/03 02:19:47,477000,4.706
2010/11/03 02:19:47,477200,-1.134
2010/11/03 02:19:47,477400,-4.456
2010/11/03 02:19:47,477600,5.690
2010/11/03 02:19:47,477800,4.862
2010/11/03 02:19:47,478000,-1.420
2010/11/03 02:19:47,478200,-3.742
2010/11/03 02:19:47,478400,-3.074
2010/11/03 02:19:47,478600,1.414
2010/11/03 02:19:47,478800,2.072
2010/11/03 02:19:47,479000,-3.816
2010/11/03 02:19:47,479200,1.414
2010/11/03 02:19:47,479400,4.410
2010/11/03 02:19:47,479600,0.060
2010/11/03 02:19:47,479800,-0.242
2010/11/03 02:19:47,480000,-1.972
2010/11/03 02:19:47,480200,0.882
2010/11/03 02:19:47,480400,-0.702
2010/11/03 02:19:47,480600,-4.836
2010/11/03 02:19:47,480800,-4.728
2010/11/03 02:19:47,481000,3.080
2010/11/03 02:19:47,481200,1.362
2010/11/03 02:19:47,481400,0.828
2010/11/03 02:19:47,481600,1.466
2010/11/03 02:19:47,481800,1.670
2010/11/03 02:19:47,482000,-0.106
2010/11/03 02:19:47,482200,-0.204
2010/11/03 02:19:47,482400,-2.060
2010/11/03 02:19:47,482600,1.304
2010/11/03 02:19:47,482800,1.700
2010/11/03 02:19:47,483000,-0.092
2010/11/03 02:19:47,483200,-4.096
2010/11/03 02:19:47,483400,-3.136
2010/11/03 02:19:47,483600,1.406
2010/11/03 02:19:47,483800,1.010
2010/11/03 02:19:47,484000,2.528
2010/11/03 02:19:47,484200,1.342
2010/11/03 02:19:47,484400,1.052
2010/11/03 02:19:47,484600,-0.736
2010/11/03 02:19:47,484800,-0.216
2010/11/03 02:19:47,485000,-1.422
2010/11/03 02:19:47,485200,0.324
2010/11/03 02:19:47,485400,0.966
2010/11/03 02:19:47,485600,3.028
2010/11/03 02:19:47,485800,-0.730
2010/11/03 02:19:47,486000,-0.764
2010/11/03 02:19:47,486200,0.146
2010/11/03 02:19:47,486400,1.928
2010/11/03 02:19:47,486600,2.390
2010/11/03 02:19:47,486800,-0.144
2010/11/03 02:19:47,487000,-2.216
2010/11/03 02:19:47,487200,0.418
2010/11/03 02:19:47,487400,2.324
2010/11/03 02:19:47,487600,-3.568
2010/11/03 02:19:47,487800,-3.752
2010/11/03 02:19:47,488000,-0.950
2010/11/03 02:19:47,488200,0.882
2010/11/03 02:19:47,488400,1.490
2010/11/03 02:19:47,488600,2.850
2010/11/03 02:19:47,488800,0.966
2010/11/03 02:19:47,489000,1.242
2010/11/03 02:19:47,489200,-2.478
2010/11/03 02:19:47,489400,-4.450
2010/11/03 02:19:47,489600,0.512
2010/11/03 02:19:47,489800,2.914
2010/11/03 02:19:47,490000,0.726
2010/11/03 02:19:47,490200,0.994
2010/11/03 02:19:47,490400,0.028
2010/11/03 02:19:47,490600,0.986
2010/11/03 02:19:47,490800,0.356
2010/11/03 02:19:47,491000,-1.968
2010/11/03 02:19:47,491200,-2.162
2010/11/03 02:19:47,491400,0.058
2010/11/03 02:19:47,491600,0.312
2010/11/03 02:19:47,491800,1.084
2010/11/03 02:19:47,492000,1.188
2010/11/03 02:19:47,492200,0.310
2010/11/03 02:19:47,492400,-1.424
2010/11/03 02:19:47,492600,-3.488
2010/11/03 02:19:47,492800,-3.458
2010/11/03 02:19:47,493000,-0.096
2010/11/03 02:19:47,493200,2.508
2010/11/03 02:19:47,493400,1.166
2010/11/03 02:19:47,493600,0.336
