#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:26:10,086000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:26:10,086000,-0.042
2010/11/03 02:26:10,086200,-0.048
2010/11/03 02:26:10,086400,-0.028
2010/11/03 02:26:10,086600,0.030
2010/11/03 02:26:10,086800,0.058
2010/11/03 02:26:10,087000,0.004
2010/11/03 02:26:10,087200,-0.046
2010/11/03 02:26:10,087400,-0.060
2010/11/03 02:26:10,087600,-0.012
2010/11/03 02:26:10,087800,0.040
2010/11/03 02:26:10,088000,0.034
2010/11/03 02:26:10,088200,-0.016
2010/11/03 02:26:10,088400,-0.056
2010/11/03 02:26:10,088600,-0.078
2010/11/03 02:26:10,088800,-0.054
2010/11/03 02:26:10,089000,-0.008
2010/11/03 02:26:10,089200,0.046
2010/11/03 02:26:10,089400,0.016
2010/11/03 02:26:10,089600,-0.038
2010/11/03 02:26:10,089800,-0.078
2010/11/03 02:26:10,090000,-0.054
2010/11/03 02:26:10,090200,0.008
2010/11/03 02:26:10,090400,0.026
2010/11/03 02:26:10,090600,-0.020
2010/11/03 02:26:10,090800,-0.054
2010/11/03 02:26:10,091000,-0.068
2010/11/03 02:26:10,091200,-0.060
2010/11/03 02:26:10,091400,-0.022
2010/11/03 02:26:10,091600,0.040
2010/11/03 02:26:10,091800,0.034
2010/11/03 02:26:10,092000,-0.058
2010/11/03 02:26:10,092200,-0.104
2010/11/03 02:26:10,092400,-0.068
2010/11/03 02:26:10,092600,-0.012
2010/11/03 02:26:10,092800,0.006
2010/11/03 02:26:10,093000,0.010
2010/11/03 02:26:10,093200,0.020
2010/11/03 02:26:10,093400,-0.032
2010/11/03 02:26:10,093600,-0.050
2010/11/03 02:26:10,093800,-0.010
2010/11/03 02:26:10,094000,0.020
2010/11/03 02:26:10,094200,0.036
2010/11/03 02:26:10,094400,0.022
2010/11/03 02:26:10,094600,-0.012
2010/11/03 02:26:10,094800,-0.044
2010/11/03 02:26:10,095000,-0.044
2010/11/03 02:26:10,095200,0.000
2010/11/03 02:26:10,095400,0.022
2010/11/03 02:26:10,095600,0.054
2010/11/03 02:26:10,095800,0.060
2010/11/03 02:26:10,096000,-0.008
2010/11/03 02:26:10,096200,-0.056
2010/11/03 02:26:10,096400,-0.042
