#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:20:56,355000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:20:56,355000,3.508
2010/11/03 02:20:56,355200,5.616
2010/11/03 02:20:56,355400,3.702
2010/11/03 02:20:56,355600,-2.084
2010/11/03 02:20:56,355800,-9.386
2010/11/03 02:20:56,356000,-3.076
2010/11/03 02:20:56,356200,5.854
2010/11/03 02:20:56,356400,3.450
2010/11/03 02:20:56,356600,-4.198
2010/11/03 02:20:56,356800,-6.790
2010/11/03 02:20:56,357000,-4.792
2010/11/03 02:20:56,357200,2.892
2010/11/03 02:20:56,357400,4.840
2010/11/03 02:20:56,357600,2.066
2010/11/03 02:20:56,357800,0.906
2010/11/03 02:20:56,358000,-5.580
2010/11/03 02:20:56,358200,-3.408
2010/11/03 02:20:56,358400,0.972
2010/11/03 02:20:56,358600,-0.680
2010/11/03 02:20:56,358800,-1.948
2010/11/03 02:20:56,359000,-2.340
2010/11/03 02:20:56,359200,-3.582
2010/11/03 02:20:56,359400,1.018
2010/11/03 02:20:56,359600,3.428
2010/11/03 02:20:56,359800,-0.244
2010/11/03 02:20:56,360000,-3.802
