#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:13:17,675000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:13:17,675000,0.522
2010/11/03 02:13:17,675200,0.488
2010/11/03 02:13:17,675400,0.224
2010/11/03 02:13:17,675600,0.372
2010/11/03 02:13:17,675800,0.504
2010/11/03 02:13:17,676000,0.512
2010/11/03 02:13:17,676200,0.588
2010/11/03 02:13:17,676400,0.348
2010/11/03 02:13:17,676600,0.166
2010/11/03 02:13:17,676800,0.186
2010/11/03 02:13:17,677000,0.484
2010/11/03 02:13:17,677200,0.648
2010/11/03 02:13:17,677400,0.470
2010/11/03 02:13:17,677600,0.322
2010/11/03 02:13:17,677800,0.226
2010/11/03 02:13:17,678000,-0.264
2010/11/03 02:13:17,678200,-0.042
2010/11/03 02:13:17,678400,-0.104
2010/11/03 02:13:17,678600,0.148
2010/11/03 02:13:17,678800,0.310
2010/11/03 02:13:17,679000,0.346
2010/11/03 02:13:17,679200,0.680
2010/11/03 02:13:17,679400,0.026
2010/11/03 02:13:17,679600,-0.584
2010/11/03 02:13:17,679800,-0.348
2010/11/03 02:13:17,680000,-0.062
2010/11/03 02:13:17,680200,-0.200
2010/11/03 02:13:17,680400,-0.428
2010/11/03 02:13:17,680600,-0.698
2010/11/03 02:13:17,680800,-1.032
2010/11/03 02:13:17,681000,-0.924
2010/11/03 02:13:17,681200,-0.748
2010/11/03 02:13:17,681400,-0.280
2010/11/03 02:13:17,681600,0.152
2010/11/03 02:13:17,681800,-0.084
2010/11/03 02:13:17,682000,-0.526
2010/11/03 02:13:17,682200,-0.226
2010/11/03 02:13:17,682400,0.532
2010/11/03 02:13:17,682600,0.586
2010/11/03 02:13:17,682800,0.060
2010/11/03 02:13:17,683000,-0.102
2010/11/03 02:13:17,683200,0.008
2010/11/03 02:13:17,683400,-0.114
2010/11/03 02:13:17,683600,-0.162
2010/11/03 02:13:17,683800,0.018
2010/11/03 02:13:17,684000,-0.102
2010/11/03 02:13:17,684200,-0.276
2010/11/03 02:13:17,684400,-0.272
