#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:10:42,604000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:10:42,604000,-0.054
2010/11/03 02:10:42,604200,-0.096
2010/11/03 02:10:42,604400,-0.012
2010/11/03 02:10:42,604600,0.080
2010/11/03 02:10:42,604800,0.094
2010/11/03 02:10:42,605000,0.012
2010/11/03 02:10:42,605200,-0.064
2010/11/03 02:10:42,605400,-0.042
2010/11/03 02:10:42,605600,-0.020
2010/11/03 02:10:42,605800,0.044
2010/11/03 02:10:42,606000,0.080
2010/11/03 02:10:42,606200,0.074
2010/11/03 02:10:42,606400,0.006
2010/11/03 02:10:42,606600,-0.108
2010/11/03 02:10:42,606800,-0.050
2010/11/03 02:10:42,607000,0.010
2010/11/03 02:10:42,607200,0.054
2010/11/03 02:10:42,607400,0.032
2010/11/03 02:10:42,607600,-0.054
2010/11/03 02:10:42,607800,-0.068
2010/11/03 02:10:42,608000,-0.076
2010/11/03 02:10:42,608200,-0.024
2010/11/03 02:10:42,608400,0.032
2010/11/03 02:10:42,608600,0.036
2010/11/03 02:10:42,608800,0.034
2010/11/03 02:10:42,609000,0.006
2010/11/03 02:10:42,609200,-0.006
2010/11/03 02:10:42,609400,0.004
2010/11/03 02:10:42,609600,0.020
2010/11/03 02:10:42,609800,0.082
2010/11/03 02:10:42,610000,-0.018
2010/11/03 02:10:42,610200,-0.100
2010/11/03 02:10:42,610400,-0.076
2010/11/03 02:10:42,610600,-0.048
2010/11/03 02:10:42,610800,-0.044
2010/11/03 02:10:42,611000,-0.022
2010/11/03 02:10:42,611200,0.094
2010/11/03 02:10:42,611400,0.080
2010/11/03 02:10:42,611600,-0.020
2010/11/03 02:10:42,611800,-0.030
2010/11/03 02:10:42,612000,-0.010
2010/11/03 02:10:42,612200,0.036
2010/11/03 02:10:42,612400,0.016
2010/11/03 02:10:42,612600,0.004
2010/11/03 02:10:42,612800,-0.010
2010/11/03 02:10:42,613000,-0.070
2010/11/03 02:10:42,613200,-0.032
2010/11/03 02:10:42,613400,0.034
2010/11/03 02:10:42,613600,0.108
2010/11/03 02:10:42,613800,0.096
2010/11/03 02:10:42,614000,0.030
2010/11/03 02:10:42,614200,-0.004
2010/11/03 02:10:42,614400,-0.050
2010/11/03 02:10:42,614600,-0.028
2010/11/03 02:10:42,614800,0.016
2010/11/03 02:10:42,615000,0.040
2010/11/03 02:10:42,615200,0.052
2010/11/03 02:10:42,615400,-0.044
2010/11/03 02:10:42,615600,-0.064
2010/11/03 02:10:42,615800,-0.030
2010/11/03 02:10:42,616000,0.026
2010/11/03 02:10:42,616200,0.062
2010/11/03 02:10:42,616400,0.024
2010/11/03 02:10:42,616600,0.022
2010/11/03 02:10:42,616800,-0.006
2010/11/03 02:10:42,617000,-0.016
2010/11/03 02:10:42,617200,0.000
2010/11/03 02:10:42,617400,0.042
2010/11/03 02:10:42,617600,0.060
2010/11/03 02:10:42,617800,0.010
2010/11/03 02:10:42,618000,-0.036
2010/11/03 02:10:42,618200,-0.034
2010/11/03 02:10:42,618400,-0.008
2010/11/03 02:10:42,618600,0.068
2010/11/03 02:10:42,618800,0.026
2010/11/03 02:10:42,619000,0.018
2010/11/03 02:10:42,619200,0.000
2010/11/03 02:10:42,619400,-0.026
2010/11/03 02:10:42,619600,-0.020
2010/11/03 02:10:42,619800,-0.036
2010/11/03 02:10:42,620000,0.062
2010/11/03 02:10:42,620200,0.086
2010/11/03 02:10:42,620400,-0.028
2010/11/03 02:10:42,620600,-0.120
2010/11/03 02:10:42,620800,-0.040
2010/11/03 02:10:42,621000,0.122
2010/11/03 02:10:42,621200,0.114
2010/11/03 02:10:42,621400,0.000
2010/11/03 02:10:42,621600,-0.030
2010/11/03 02:10:42,621800,-0.034
2010/11/03 02:10:42,622000,0.024
2010/11/03 02:10:42,622200,0.042
2010/11/03 02:10:42,622400,0.074
2010/11/03 02:10:42,622600,0.064
2010/11/03 02:10:42,622800,-0.012
2010/11/03 02:10:42,623000,-0.060
2010/11/03 02:10:42,623200,-0.034
2010/11/03 02:10:42,623400,0.098
2010/11/03 02:10:42,623600,0.144
2010/11/03 02:10:42,623800,0.042
2010/11/03 02:10:42,624000,-0.050
2010/11/03 02:10:42,624200,-0.086
2010/11/03 02:10:42,624400,0.022
2010/11/03 02:10:42,624600,0.078
2010/11/03 02:10:42,624800,0.054
2010/11/03 02:10:42,625000,0.010
2010/11/03 02:10:42,625200,0.006
2010/11/03 02:10:42,625400,0.036
2010/11/03 02:10:42,625600,0.028
2010/11/03 02:10:42,625800,0.032
2010/11/03 02:10:42,626000,0.068
2010/11/03 02:10:42,626200,0.068
2010/11/03 02:10:42,626400,-0.010
2010/11/03 02:10:42,626600,-0.100
2010/11/03 02:10:42,626800,-0.080
2010/11/03 02:10:42,627000,0.056
2010/11/03 02:10:42,627200,0.076
2010/11/03 02:10:42,627400,0.002
2010/11/03 02:10:42,627600,-0.036
2010/11/03 02:10:42,627800,-0.014
2010/11/03 02:10:42,628000,0.030
2010/11/03 02:10:42,628200,0.052
2010/11/03 02:10:42,628400,0.034
2010/11/03 02:10:42,628600,0.022
2010/11/03 02:10:42,628800,-0.018
2010/11/03 02:10:42,629000,-0.072
2010/11/03 02:10:42,629200,-0.110
2010/11/03 02:10:42,629400,-0.018
2010/11/03 02:10:42,629600,0.074
2010/11/03 02:10:42,629800,-0.002
2010/11/03 02:10:42,630000,-0.064
2010/11/03 02:10:42,630200,-0.084
2010/11/03 02:10:42,630400,0.012
2010/11/03 02:10:42,630600,0.078
2010/11/03 02:10:42,630800,0.020
2010/11/03 02:10:42,631000,-0.042
2010/11/03 02:10:42,631200,-0.030
2010/11/03 02:10:42,631400,-0.014
2010/11/03 02:10:42,631600,-0.114
2010/11/03 02:10:42,631800,-0.146
2010/11/03 02:10:42,632000,-0.024
2010/11/03 02:10:42,632200,0.076
2010/11/03 02:10:42,632400,0.102
2010/11/03 02:10:42,632600,-0.006
2010/11/03 02:10:42,632800,-0.056
2010/11/03 02:10:42,633000,-0.056
2010/11/03 02:10:42,633200,0.026
2010/11/03 02:10:42,633400,0.064
2010/11/03 02:10:42,633600,0.046
2010/11/03 02:10:42,633800,0.012
2010/11/03 02:10:42,634000,-0.040
2010/11/03 02:10:42,634200,-0.070
2010/11/03 02:10:42,634400,-0.082
2010/11/03 02:10:42,634600,0.018
2010/11/03 02:10:42,634800,0.054
2010/11/03 02:10:42,635000,0.042
2010/11/03 02:10:42,635200,-0.002
2010/11/03 02:10:42,635400,-0.042
2010/11/03 02:10:42,635600,-0.016
2010/11/03 02:10:42,635800,0.018
2010/11/03 02:10:42,636000,0.042
2010/11/03 02:10:42,636200,0.010
2010/11/03 02:10:42,636400,-0.006
2010/11/03 02:10:42,636600,-0.004
2010/11/03 02:10:42,636800,-0.072
2010/11/03 02:10:42,637000,-0.058
2010/11/03 02:10:42,637200,-0.004
2010/11/03 02:10:42,637400,0.088
2010/11/03 02:10:42,637600,0.056
2010/11/03 02:10:42,637800,-0.014
2010/11/03 02:10:42,638000,-0.030
2010/11/03 02:10:42,638200,-0.038
2010/11/03 02:10:42,638400,-0.002
2010/11/03 02:10:42,638600,0.050
2010/11/03 02:10:42,638800,0.006
2010/11/03 02:10:42,639000,-0.004
2010/11/03 02:10:42,639200,-0.044
2010/11/03 02:10:42,639400,-0.034
2010/11/03 02:10:42,639600,-0.006
2010/11/03 02:10:42,639800,-0.038
2010/11/03 02:10:42,640000,-0.026
2010/11/03 02:10:42,640200,-0.032
2010/11/03 02:10:42,640400,-0.070
2010/11/03 02:10:42,640600,-0.070
2010/11/03 02:10:42,640800,-0.018
2010/11/03 02:10:42,641000,0.078
2010/11/03 02:10:42,641200,0.058
2010/11/03 02:10:42,641400,-0.004
2010/11/03 02:10:42,641600,-0.022
2010/11/03 02:10:42,641800,-0.066
2010/11/03 02:10:42,642000,-0.046
2010/11/03 02:10:42,642200,0.002
2010/11/03 02:10:42,642400,0.066
2010/11/03 02:10:42,642600,0.078
2010/11/03 02:10:42,642800,-0.024
2010/11/03 02:10:42,643000,-0.140
2010/11/03 02:10:42,643200,-0.074
2010/11/03 02:10:42,643400,0.042
2010/11/03 02:10:42,643600,0.088
2010/11/03 02:10:42,643800,0.074
2010/11/03 02:10:42,644000,0.072
2010/11/03 02:10:42,644200,0.004
2010/11/03 02:10:42,644400,-0.018
2010/11/03 02:10:42,644600,0.008
2010/11/03 02:10:42,644800,0.010
2010/11/03 02:10:42,645000,0.022
2010/11/03 02:10:42,645200,0.008
2010/11/03 02:10:42,645400,-0.014
2010/11/03 02:10:42,645600,-0.040
2010/11/03 02:10:42,645800,-0.012
2010/11/03 02:10:42,646000,0.036
2010/11/03 02:10:42,646200,0.064
2010/11/03 02:10:42,646400,0.068
2010/11/03 02:10:42,646600,0.024
2010/11/03 02:10:42,646800,-0.032
2010/11/03 02:10:42,647000,-0.044
2010/11/03 02:10:42,647200,-0.108
2010/11/03 02:10:42,647400,-0.016
2010/11/03 02:10:42,647600,0.076
2010/11/03 02:10:42,647800,0.030
2010/11/03 02:10:42,648000,-0.020
2010/11/03 02:10:42,648200,-0.010
2010/11/03 02:10:42,648400,-0.044
2010/11/03 02:10:42,648600,-0.014
2010/11/03 02:10:42,648800,0.024
2010/11/03 02:10:42,649000,0.028
2010/11/03 02:10:42,649200,0.038
2010/11/03 02:10:42,649400,-0.008
2010/11/03 02:10:42,649600,-0.032
2010/11/03 02:10:42,649800,-0.098
2010/11/03 02:10:42,650000,-0.082
2010/11/03 02:10:42,650200,-0.192
2010/11/03 02:10:42,650400,-0.102
2010/11/03 02:10:42,650600,0.152
2010/11/03 02:10:42,650800,0.082
2010/11/03 02:10:42,651000,0.052
2010/11/03 02:10:42,651200,0.008
2010/11/03 02:10:42,651400,-0.062
2010/11/03 02:10:42,651600,0.014
2010/11/03 02:10:42,651800,0.022
2010/11/03 02:10:42,652000,-0.104
2010/11/03 02:10:42,652200,-0.110
2010/11/03 02:10:42,652400,-0.006
2010/11/03 02:10:42,652600,0.096
2010/11/03 02:10:42,652800,0.072
2010/11/03 02:10:42,653000,0.000
2010/11/03 02:10:42,653200,-0.042
2010/11/03 02:10:42,653400,-0.032
2010/11/03 02:10:42,653600,0.062
2010/11/03 02:10:42,653800,0.096
2010/11/03 02:10:42,654000,0.068
2010/11/03 02:10:42,654200,-0.004
2010/11/03 02:10:42,654400,-0.052
2010/11/03 02:10:42,654600,-0.032
2010/11/03 02:10:42,654800,-0.028
2010/11/03 02:10:42,655000,0.022
2010/11/03 02:10:42,655200,0.030
