#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 03:15:54,916000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 03:15:54,916000,0.104
2010/11/03 03:15:54,916200,-0.062
2010/11/03 03:15:54,916400,-0.356
2010/11/03 03:15:54,916600,-0.434
2010/11/03 03:15:54,916800,-0.246
2010/11/03 03:15:54,917000,-0.140
2010/11/03 03:15:54,917200,-0.146
2010/11/03 03:15:54,917400,-0.126
2010/11/03 03:15:54,917600,-0.106
2010/11/03 03:15:54,917800,-0.040
2010/11/03 03:15:54,918000,-0.032
2010/11/03 03:15:54,918200,0.100
2010/11/03 03:15:54,918400,0.222
2010/11/03 03:15:54,918600,0.186
2010/11/03 03:15:54,918800,0.000
2010/11/03 03:15:54,919000,-0.136
2010/11/03 03:15:54,919200,0.134
2010/11/03 03:15:54,919400,0.294
2010/11/03 03:15:54,919600,0.168
2010/11/03 03:15:54,919800,0.050
2010/11/03 03:15:54,920000,0.202
2010/11/03 03:15:54,920200,0.360
2010/11/03 03:15:54,920400,0.158
2010/11/03 03:15:54,920600,0.070
2010/11/03 03:15:54,920800,0.244
2010/11/03 03:15:54,921000,0.318
2010/11/03 03:15:54,921200,0.084
2010/11/03 03:15:54,921400,-0.050
2010/11/03 03:15:54,921600,0.010
2010/11/03 03:15:54,921800,0.010
2010/11/03 03:15:54,922000,0.078
2010/11/03 03:15:54,922200,0.088
2010/11/03 03:15:54,922400,-0.026
2010/11/03 03:15:54,922600,-0.004
2010/11/03 03:15:54,922800,0.040
2010/11/03 03:15:54,923000,-0.056
2010/11/03 03:15:54,923200,-0.046
2010/11/03 03:15:54,923400,0.044
