#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 03:09:08,125000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 03:09:08,125000,-0.130
2010/11/03 03:09:08,125200,-0.060
2010/11/03 03:09:08,125400,-0.016
2010/11/03 03:09:08,125600,0.078
2010/11/03 03:09:08,125800,0.096
2010/11/03 03:09:08,126000,-0.068
2010/11/03 03:09:08,126200,-0.072
2010/11/03 03:09:08,126400,-0.032
2010/11/03 03:09:08,126600,-0.018
2010/11/03 03:09:08,126800,0.050
2010/11/03 03:09:08,127000,0.050
2010/11/03 03:09:08,127200,-0.096
2010/11/03 03:09:08,127400,-0.136
2010/11/03 03:09:08,127600,-0.084
2010/11/03 03:09:08,127800,0.000
2010/11/03 03:09:08,128000,0.034
2010/11/03 03:09:08,128200,0.026
2010/11/03 03:09:08,128400,-0.044
2010/11/03 03:09:08,128600,-0.094
2010/11/03 03:09:08,128800,-0.050
2010/11/03 03:09:08,129000,0.000
2010/11/03 03:09:08,129200,0.036
2010/11/03 03:09:08,129400,-0.008
2010/11/03 03:09:08,129600,-0.014
2010/11/03 03:09:08,129800,-0.030
2010/11/03 03:09:08,130000,-0.104
2010/11/03 03:09:08,130200,-0.124
2010/11/03 03:09:08,130400,0.004
2010/11/03 03:09:08,130600,0.106
2010/11/03 03:09:08,130800,0.114
2010/11/03 03:09:08,131000,-0.026
2010/11/03 03:09:08,131200,-0.072
2010/11/03 03:09:08,131400,-0.048
2010/11/03 03:09:08,131600,0.008
2010/11/03 03:09:08,131800,0.112
2010/11/03 03:09:08,132000,0.090
2010/11/03 03:09:08,132200,0.030
2010/11/03 03:09:08,132400,-0.078
2010/11/03 03:09:08,132600,-0.126
2010/11/03 03:09:08,132800,-0.048
2010/11/03 03:09:08,133000,0.064
2010/11/03 03:09:08,133200,0.092
2010/11/03 03:09:08,133400,0.060
2010/11/03 03:09:08,133600,-0.036
2010/11/03 03:09:08,133800,-0.060
2010/11/03 03:09:08,134000,-0.026
2010/11/03 03:09:08,134200,0.036
2010/11/03 03:09:08,134400,0.054
2010/11/03 03:09:08,134600,0.004
2010/11/03 03:09:08,134800,-0.024
2010/11/03 03:09:08,135000,-0.032
2010/11/03 03:09:08,135200,-0.074
2010/11/03 03:09:08,135400,-0.028
2010/11/03 03:09:08,135600,0.072
2010/11/03 03:09:08,135800,0.112
