#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
2010/11/03 02:46:12,977200,0.010
2010/11/03 02:46:12,977400,0.130
2010/11/03 02:46:12,977600,0.354
2010/11/03 02:46:12,977800,0.500
2010/11/03 02:46:12,978000,0.264
2010/11/03 02:46:12,978200,0.246
2010/11/03 02:46:12,978400,-0.092
2010/11/03 02:46:12,978600,0.280
2010/11/03 02:46:12,978800,0.540
2010/11/03 02:46:12,979000,-0.214
2010/11/03 02:46:12,979200,-0.304
2010/11/03 02:46:12,979400,-0.172
2010/11/03 02:46:12,979600,0.808
2010/11/03 02:46:12,979800,0.780
2010/11/03 02:46:12,980000,-0.664
2010/11/03 02:46:12,980200,-0.244
2010/11/03 02:46:12,980400,0.250
2010/11/03 02:46:12,980600,-0.182
2010/11/03 02:46:12,980800,0.158
2010/11/03 02:46:12,981000,-0.046
2010/11/03 02:46:12,981200,-0.358
2010/11/03 02:46:12,981400,-0.860
2010/11/03 02:46:12,981600,-1.172
2010/11/03 02:46:12,981800,-0.366
2010/11/03 02:46:12,982000,0.242
2010/11/03 02:46:12,982200,0.324
2010/11/03 02:46:12,982400,-0.156
2010/11/03 02:46:12,982600,-0.204
2010/11/03 02:46:12,982800,0.556
2010/11/03 02:46:12,983000,0.690
2010/11/03 02:46:12,983200,0.148
2010/11/03 02:46:12,983400,-0.280
2010/11/03 02:46:12,983600,-0.066
2010/11/03 02:46:12,983800,-0.112
2010/11/03 02:46:12,984000,-0.460
2010/11/03 02:46:12,984200,-0.546
2010/11/03 02:46:12,984400,-0.276
2010/11/03 02:46:12,984600,-0.040
2010/11/03 02:46:12,984800,-0.088
2010/11/03 02:46:12,985000,0.400
2010/11/03 02:46:12,985200,0.758
2010/11/03 02:46:12,985400,0.678
2010/11/03 02:46:12,985600,0.310
2010/11/03 02:46:12,985800,0.192
2010/11/03 02:46:12,986000,0.432
2010/11/03 02:46:12,986200,0.228
2010/11/03 02:46:12,986400,-0.162
2010/11/03 02:46:12,986600,-0.212
2010/11/03 02:46:12,986800,-0.078
2010/11/03 02:46:12,987000,0.036
2010/11/03 02:46:12,987200,0.048
2010/11/03 02:46:12,987400,0.232
2010/11/03 02:46:12,987600,0.638
2010/11/03 02:46:12,987800,0.794
2010/11/03 02:46:12,988000,0.292
2010/11/03 02:46:12,988200,0.170
2010/11/03 02:46:12,988400,0.140
2010/11/03 02:46:12,988600,0.130
2010/11/03 02:46:12,988800,-0.046
2010/11/03 02:46:12,989000,-0.180
2010/11/03 02:46:12,989200,-0.100
2010/11/03 02:46:12,989400,-0.398
2010/11/03 02:46:12,989600,-0.448
2010/11/03 02:46:12,989800,-0.060
2010/11/03 02:46:12,990000,0.678
2010/11/03 02:46:12,990200,0.896
2010/11/03 02:46:12,990400,-0.386
2010/11/03 02:46:12,990600,-0.848
2010/11/03 02:46:12,990800,-0.236
2010/11/03 02:46:12,991000,-0.644
2010/11/03 02:46:12,991200,-0.456
2010/11/03 02:46:12,991400,-0.724
2010/11/03 02:46:12,991600,-0.712
2010/11/03 02:46:12,991800,-0.520
2010/11/03 02:46:12,992000,-1.044
2010/11/03 02:46:12,992200,-0.684
2010/11/03 02:46:12,992400,-0.226
2010/11/03 02:46:12,992600,0.388
2010/11/03 02:46:12,992800,0.342
2010/11/03 02:46:12,993000,-0.258
2010/11/03 02:46:12,993200,-0.176
2010/11/03 02:46:12,993400,0.112
2010/11/03 02:46:12,993600,0.140
2010/11/03 02:46:12,993800,-0.334
2010/11/03 02:46:12,994000,-0.332
2010/11/03 02:46:12,994200,-0.164
2010/11/03 02:46:12,994400,-0.216
2010/11/03 02:46:12,994600,-0.034
2010/11/03 02:46:12,994800,-0.074
2010/11/03 02:46:12,995000,0.092
2010/11/03 02:46:12,995200,0.208
2010/11/03 02:46:12,995400,0.378
2010/11/03 02:46:12,995600,0.314
2010/11/03 02:46:12,995800,0.318
2010/11/03 02:46:12,996000,0.386
2010/11/03 02:46:12,996200,0.100
2010/11/03 02:46:12,996400,0.186
2010/11/03 02:46:12,996600,0.292
2010/11/03 02:46:12,996800,0.444
2010/11/03 02:46:12,997000,0.454
2010/11/03 02:46:12,997200,0.242
2010/11/03 02:46:12,997400,-0.004
2010/11/03 02:46:12,997600,0.062
2010/11/03 02:46:12,997800,0.248
2010/11/03 02:46:12,998000,0.462
2010/11/03 02:46:12,998200,0.444
2010/11/03 02:46:12,998400,0.336
2010/11/03 02:46:12,998600,0.338
2010/11/03 02:46:12,998800,0.000
2010/11/03 02:46:12,999000,-0.096
2010/11/03 02:46:12,999200,-0.042
2010/11/03 02:46:12,999400,0.104
2010/11/03 02:46:12,999600,0.212
2010/11/03 02:46:12,999800,0.156
2010/11/03 02:46:13,000000,-0.086
2010/11/03 02:46:13,000200,-0.628
2010/11/03 02:46:13,000400,-0.676
2010/11/03 02:46:13,000600,0.052
2010/11/03 02:46:13,000800,0.034
2010/11/03 02:46:13,001000,-0.186
2010/11/03 02:46:13,001200,-0.128
2010/11/03 02:46:13,001400,-0.464
2010/11/03 02:46:13,001600,-0.216
2010/11/03 02:46:13,001800,-0.464
2010/11/03 02:46:13,002000,-0.440
2010/11/03 02:46:13,002200,-0.332
2010/11/03 02:46:13,002400,-0.580
2010/11/03 02:46:13,002600,-0.630
2010/11/03 02:46:13,002800,-0.708
2010/11/03 02:46:13,003000,-0.036
2010/11/03 02:46:13,003200,0.624
2010/11/03 02:46:13,003400,0.540
2010/11/03 02:46:13,003600,0.300
2010/11/03 02:46:13,003800,0.126
2010/11/03 02:46:13,004000,-0.108
2010/11/03 02:46:13,004200,-0.262
2010/11/03 02:46:13,004400,0.136
2010/11/03 02:46:13,004600,0.234
2010/11/03 02:46:13,004800,0.142
2010/11/03 02:46:13,005000,0.086
2010/11/03 02:46:13,005200,-0.006
2010/11/03 02:46:13,005400,0.256
2010/11/03 02:46:13,005600,0.408
2010/11/03 02:46:13,005800,0.554
2010/11/03 02:46:13,006000,0.610
2010/11/03 02:46:13,006200,0.674
2010/11/03 02:46:13,006400,0.348
2010/11/03 02:46:13,006600,-0.158
2010/11/03 02:46:13,006800,-0.142
2010/11/03 02:46:13,007000,-0.154
2010/11/03 02:46:13,007200,-0.114
2010/11/03 02:46:13,007400,-0.088
2010/11/03 02:46:13,007600,-0.018
2010/11/03 02:46:13,007800,0.306
2010/11/03 02:46:13,008000,0.420
2010/11/03 02:46:13,008200,0.300
2010/11/03 02:46:13,008400,0.138
2010/11/03 02:46:13,008600,0.350
2010/11/03 02:46:13,008800,0.004
2010/11/03 02:46:13,009000,0.110
2010/11/03 02:46:13,009200,-0.054
2010/11/03 02:46:13,009400,-0.450
2010/11/03 02:46:13,009600,-0.598
2010/11/03 02:46:13,009800,-0.158
2010/11/03 02:46:13,010000,0.412
2010/11/03 02:46:13,010200,0.076
2010/11/03 02:46:13,010400,-0.972
2010/11/03 02:46:13,010600,-0.470
2010/11/03 02:46:13,010800,-0.318
2010/11/03 02:46:13,011000,-0.462
2010/11/03 02:46:13,011200,-0.444
2010/11/03 02:46:13,011400,-0.622
2010/11/03 02:46:13,011600,-0.318
2010/11/03 02:46:13,011800,-0.558
2010/11/03 02:46:13,012000,-0.856
2010/11/03 02:46:13,012200,-0.548
2010/11/03 02:46:13,012400,-0.186
2010/11/03 02:46:13,012600,0.240
2010/11/03 02:46:13,012800,-0.020
2010/11/03 02:46:13,013000,-0.020
2010/11/03 02:46:13,013200,0.024
2010/11/03 02:46:13,013400,0.168
2010/11/03 02:46:13,013600,0.258
2010/11/03 02:46:13,013800,0.252
2010/11/03 02:46:13,014000,0.248
2010/11/03 02:46:13,014200,-0.136
2010/11/03 02:46:13,014400,-0.506
2010/11/03 02:46:13,014600,-0.430
2010/11/03 02:46:13,014800,0.052
2010/11/03 02:46:13,015000,0.116
2010/11/03 02:46:13,015200,-0.220
2010/11/03 02:46:13,015400,0.142
2010/11/03 02:46:13,015600,0.294
2010/11/03 02:46:13,015800,0.472
2010/11/03 02:46:13,016000,0.242
2010/11/03 02:46:13,016200,0.208
2010/11/03 02:46:13,016400,0.416
2010/11/03 02:46:13,016600,0.556
2010/11/03 02:46:13,016800,0.464
2010/11/03 02:46:13,017000,0.132
2010/11/03 02:46:13,017200,0.150
2010/11/03 02:46:13,017400,0.056
2010/11/03 02:46:13,017600,-0.036
2010/11/03 02:46:13,017800,0.162
2010/11/03 02:46:13,018000,0.340
2010/11/03 02:46:13,018200,0.486
2010/11/03 02:46:13,018400,0.270
2010/11/03 02:46:13,018600,0.252
2010/11/03 02:46:13,018800,-0.206
2010/11/03 02:46:13,019000,0.090
2010/11/03 02:46:13,019200,0.120
2010/11/03 02:46:13,019400,-0.384
2010/11/03 02:46:13,019600,-0.402
2010/11/03 02:46:13,019800,0.312
2010/11/03 02:46:13,020000,0.922
2010/11/03 02:46:13,020200,0.560
2010/11/03 02:46:13,020400,-0.942
2010/11/03 02:46:13,020600,-0.052
2010/11/03 02:46:13,020800,0.450
2010/11/03 02:46:13,021000,-0.168
2010/11/03 02:46:13,021200,-0.110
2010/11/03 02:46:13,021400,-0.518
2010/11/03 02:46:13,021600,-0.384
