#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:50:24,754000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:50:24,754000,-0.036
2010/11/03 02:50:24,754200,0.000
2010/11/03 02:50:24,754400,0.010
2010/11/03 02:50:24,754600,0.042
2010/11/03 02:50:24,754800,0.012
2010/11/03 02:50:24,755000,0.000
2010/11/03 02:50:24,755200,-0.038
2010/11/03 02:50:24,755400,-0.138
2010/11/03 02:50:24,755600,-0.130
2010/11/03 02:50:24,755800,-0.084
2010/11/03 02:50:24,756000,-0.036
2010/11/03 02:50:24,756200,-0.054
2010/11/03 02:50:24,756400,-0.164
2010/11/03 02:50:24,756600,-0.192
2010/11/03 02:50:24,756800,-0.154
2010/11/03 02:50:24,757000,-0.090
2010/11/03 02:50:24,757200,-0.058
2010/11/03 02:50:24,757400,-0.070
2010/11/03 02:50:24,757600,-0.076
2010/11/03 02:50:24,757800,-0.150
2010/11/03 02:50:24,758000,-0.188
2010/11/03 02:50:24,758200,-0.140
2010/11/03 02:50:24,758400,-0.096
2010/11/03 02:50:24,758600,-0.088
2010/11/03 02:50:24,758800,-0.084
2010/11/03 02:50:24,759000,-0.198
2010/11/03 02:50:24,759200,-0.168
2010/11/03 02:50:24,759400,-0.028
2010/11/03 02:50:24,759600,0.118
2010/11/03 02:50:24,759800,0.102
2010/11/03 02:50:24,760000,-0.046
2010/11/03 02:50:24,760200,0.000
2010/11/03 02:50:24,760400,0.074
2010/11/03 02:50:24,760600,0.230
2010/11/03 02:50:24,760800,0.222
2010/11/03 02:50:24,761000,0.224
2010/11/03 02:50:24,761200,0.222
2010/11/03 02:50:24,761400,0.152
2010/11/03 02:50:24,761600,0.116
2010/11/03 02:50:24,761800,0.216
2010/11/03 02:50:24,762000,0.286
2010/11/03 02:50:24,762200,0.336
2010/11/03 02:50:24,762400,0.194
2010/11/03 02:50:24,762600,0.132
2010/11/03 02:50:24,762800,0.164
2010/11/03 02:50:24,763000,0.258
2010/11/03 02:50:24,763200,0.330
2010/11/03 02:50:24,763400,0.296
2010/11/03 02:50:24,763600,0.242
2010/11/03 02:50:24,763800,0.154
2010/11/03 02:50:24,764000,0.144
2010/11/03 02:50:24,764200,0.094
2010/11/03 02:50:24,764400,0.112
2010/11/03 02:50:24,764600,0.156
2010/11/03 02:50:24,764800,0.204
2010/11/03 02:50:24,765000,0.108
2010/11/03 02:50:24,765200,-0.036
2010/11/03 02:50:24,765400,0.004
2010/11/03 02:50:24,765600,0.060
2010/11/03 02:50:24,765800,0.114
2010/11/03 02:50:24,766000,0.006
2010/11/03 02:50:24,766200,-0.084
2010/11/03 02:50:24,766400,-0.090
2010/11/03 02:50:24,766600,-0.152
2010/11/03 02:50:24,766800,-0.150
2010/11/03 02:50:24,767000,-0.198
2010/11/03 02:50:24,767200,-0.214
2010/11/03 02:50:24,767400,-0.252
