#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 03:10:20,425000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 03:10:20,425000,-0.150
2010/11/03 03:10:20,425200,-0.692
2010/11/03 03:10:20,425400,-1.402
2010/11/03 03:10:20,425600,-1.154
2010/11/03 03:10:20,425800,0.258
2010/11/03 03:10:20,426000,0.670
2010/11/03 03:10:20,426200,0.074
2010/11/03 03:10:20,426400,-0.474
2010/11/03 03:10:20,426600,-0.146
2010/11/03 03:10:20,426800,0.442
2010/11/03 03:10:20,427000,0.102
2010/11/03 03:10:20,427200,0.330
2010/11/03 03:10:20,427400,0.762
2010/11/03 03:10:20,427600,0.736
2010/11/03 03:10:20,427800,0.522
2010/11/03 03:10:20,428000,0.354
2010/11/03 03:10:20,428200,0.932
2010/11/03 03:10:20,428400,1.556
2010/11/03 03:10:20,428600,1.384
2010/11/03 03:10:20,428800,0.678
2010/11/03 03:10:20,429000,0.350
2010/11/03 03:10:20,429200,0.470
2010/11/03 03:10:20,429400,0.326
2010/11/03 03:10:20,429600,0.032
2010/11/03 03:10:20,429800,0.114
2010/11/03 03:10:20,430000,0.384
2010/11/03 03:10:20,430200,0.756
2010/11/03 03:10:20,430400,1.020
2010/11/03 03:10:20,430600,1.016
2010/11/03 03:10:20,430800,0.974
2010/11/03 03:10:20,431000,1.104
2010/11/03 03:10:20,431200,0.468
2010/11/03 03:10:20,431400,-0.456
2010/11/03 03:10:20,431600,-1.500
2010/11/03 03:10:20,431800,-1.546
2010/11/03 03:10:20,432000,-1.014
2010/11/03 03:10:20,432200,0.008
2010/11/03 03:10:20,432400,0.846
2010/11/03 03:10:20,432600,0.344
2010/11/03 03:10:20,432800,-0.794
2010/11/03 03:10:20,433000,-0.820
2010/11/03 03:10:20,433200,-0.490
2010/11/03 03:10:20,433400,-0.594
2010/11/03 03:10:20,433600,-1.102
2010/11/03 03:10:20,433800,-1.562
2010/11/03 03:10:20,434000,-1.444
2010/11/03 03:10:20,434200,-1.644
2010/11/03 03:10:20,434400,-1.538
2010/11/03 03:10:20,434600,-0.858
2010/11/03 03:10:20,434800,-0.302
2010/11/03 03:10:20,435000,-0.112
