#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
2010/11/03 03:09:49,119000,0.202
2010/11/03 03:09:49,119200,0.218
2010/11/03 03:09:49,119400,0.174
2010/11/03 03:09:49,119600,0.144
2010/11/03 03:09:49,119800,0.116
2010/11/03 03:09:49,120000,0.144
2010/11/03 03:09:49,120200,0.086
2010/11/03 03:09:49,120400,0.068
2010/11/03 03:09:49,120600,0.096
2010/11/03 03:09:49,120800,0.098
2010/11/03 03:09:49,121000,0.040
2010/11/03 03:09:49,121200,-0.050
2010/11/03 03:09:49,121400,-0.038
2010/11/03 03:09:49,121600,-0.016
2010/11/03 03:09:49,121800,-0.034
2010/11/03 03:09:49,122000,-0.060
2010/11/03 03:09:49,122200,-0.112
2010/11/03 03:09:49,122400,-0.112
2010/11/03 03:09:49,122600,-0.056
2010/11/03 03:09:49,122800,-0.020
2010/11/03 03:09:49,123000,-0.014
2010/11/03 03:09:49,123200,-0.008
2010/11/03 03:09:49,123400,-0.028
2010/11/03 03:09:49,123600,-0.046
2010/11/03 03:09:49,123800,-0.020
2010/11/03 03:09:49,124000,-0.014
2010/11/03 03:09:49,124200,-0.030
2010/11/03 03:09:49,124400,0.016
2010/11/03 03:09:49,124600,0.002
2010/11/03 03:09:49,124800,-0.064
2010/11/03 03:09:49,125000,-0.090
2010/11/03 03:09:49,125200,-0.022
2010/11/03 03:09:49,125400,-0.042
2010/11/03 03:09:49,125600,-0.090
2010/11/03 03:09:49,125800,-0.182
2010/11/03 03:09:49,126000,-0.090
2010/11/03 03:09:49,126200,-0.152
2010/11/03 03:09:49,126400,-0.074
2010/11/03 03:09:49,126600,0.160
2010/11/03 03:09:49,126800,0.190
2010/11/03 03:09:49,127000,0.116
2010/11/03 03:09:49,127200,0.086
2010/11/03 03:09:49,127400,0.100
2010/11/03 03:09:49,127600,0.116
2010/11/03 03:09:49,127800,0.140
2010/11/03 03:09:49,128000,-0.020
2010/11/03 03:09:49,128200,-0.112
2010/11/03 03:09:49,128400,-0.038
2010/11/03 03:09:49,128600,0.004
2010/11/03 03:09:49,128800,0.038
2010/11/03 03:09:49,129000,0.118
2010/11/03 03:09:49,129200,0.138
2010/11/03 03:09:49,129400,0.088
2010/11/03 03:09:49,129600,0.058
2010/11/03 03:09:49,129800,0.090
2010/11/03 03:09:49,130000,-0.006
2010/11/03 03:09:49,130200,-0.102
2010/11/03 03:09:49,130400,-0.018
2010/11/03 03:09:49,130600,0.078
2010/11/03 03:09:49,130800,0.022
2010/11/03 03:09:49,131000,-0.036
2010/11/03 03:09:49,131200,-0.082
2010/11/03 03:09:49,131400,-0.018
2010/11/03 03:09:49,131600,0.016
2010/11/03 03:09:49,131800,0.084
2010/11/03 03:09:49,132000,0.024
2010/11/03 03:09:49,132200,0.016
2010/11/03 03:09:49,132400,-0.020
2010/11/03 03:09:49,132600,-0.112
2010/11/03 03:09:49,132800,-0.150
2010/11/03 03:09:49,133000,-0.118
2010/11/03 03:09:49,133200,-0.136
2010/11/03 03:09:49,133400,-0.164
2010/11/03 03:09:49,133600,-0.194
2010/11/03 03:09:49,133800,-0.166
2010/11/03 03:09:49,134000,-0.096
2010/11/03 03:09:49,134200,0.016
2010/11/03 03:09:49,134400,0.042
2010/11/03 03:09:49,134600,0.026
2010/11/03 03:09:49,134800,0.016
2010/11/03 03:09:49,135000,0.004
2010/11/03 03:09:49,135200,0.052
2010/11/03 03:09:49,135400,-0.050
2010/11/03 03:09:49,135600,-0.088
2010/11/03 03:09:49,135800,-0.024
2010/11/03 03:09:49,136000,-0.084
2010/11/03 03:09:49,136200,-0.158
2010/11/03 03:09:49,136400,-0.038
2010/11/03 03:09:49,136600,0.086
2010/11/03 03:09:49,136800,0.144
2010/11/03 03:09:49,137000,0.082
2010/11/03 03:09:49,137200,0.038
2010/11/03 03:09:49,137400,0.054
2010/11/03 03:09:49,137600,0.098
2010/11/03 03:09:49,137800,0.098
2010/11/03 03:09:49,138000,0.042
2010/11/03 03:09:49,138200,0.046
2010/11/03 03:09:49,138400,0.034
2010/11/03 03:09:49,138600,0.076
2010/11/03 03:09:49,138800,0.154
2010/11/03 03:09:49,139000,0.268
2010/11/03 03:09:49,139200,0.350
2010/11/03 03:09:49,139400,0.314
2010/11/03 03:09:49,139600,0.256
2010/11/03 03:09:49,139800,0.232
2010/11/03 03:09:49,140000,0.264
2010/11/03 03:09:49,140200,0.294
2010/11/03 03:09:49,140400,0.164
2010/11/03 03:09:49,140600,0.080
2010/11/03 03:09:49,140800,-0.020
2010/11/03 03:09:49,141000,-0.018
2010/11/03 03:09:49,141200,0.014
2010/11/03 03:09:49,141400,0.048
2010/11/03 03:09:49,141600,0.156
2010/11/03 03:09:49,141800,0.194
2010/11/03 03:09:49,142000,0.100
2010/11/03 03:09:49,142200,0.046
2010/11/03 03:09:49,142400,0.012
2010/11/03 03:09:49,142600,0.058
2010/11/03 03:09:49,142800,0.072
2010/11/03 03:09:49,143000,0.046
2010/11/03 03:09:49,143200,-0.012
2010/11/03 03:09:49,143400,-0.072
2010/11/03 03:09:49,143600,-0.066
2010/11/03 03:09:49,143800,0.002
2010/11/03 03:09:49,144000,0.034
2010/11/03 03:09:49,144200,0.024
2010/11/03 03:09:49,144400,-0.016
2010/11/03 03:09:49,144600,-0.012
2010/11/03 03:09:49,144800,-0.062
2010/11/03 03:09:49,145000,-0.076
2010/11/03 03:09:49,145200,-0.102
2010/11/03 03:09:49,145400,-0.142
2010/11/03 03:09:49,145600,-0.156
2010/11/03 03:09:49,145800,-0.144
2010/11/03 03:09:49,146000,-0.122
2010/11/03 03:09:49,146200,-0.096
2010/11/03 03:09:49,146400,-0.080
2010/11/03 03:09:49,146600,0.086
2010/11/03 03:09:49,146800,0.196
2010/11/03 03:09:49,147000,0.058
2010/11/03 03:09:49,147200,-0.110
2010/11/03 03:09:49,147400,-0.068
2010/11/03 03:09:49,147600,0.044
2010/11/03 03:09:49,147800,0.078
2010/11/03 03:09:49,148000,0.036
2010/11/03 03:09:49,148200,0.016
2010/11/03 03:09:49,148400,-0.020
2010/11/03 03:09:49,148600,-0.050
2010/11/03 03:09:49,148800,-0.024
2010/11/03 03:09:49,149000,0.022
2010/11/03 03:09:49,149200,0.044
2010/11/03 03:09:49,149400,0.040
2010/11/03 03:09:49,149600,-0.048
2010/11/03 03:09:49,149800,-0.042
2010/11/03 03:09:49,150000,0.034
2010/11/03 03:09:49,150200,0.050
2010/11/03 03:09:49,150400,0.062
2010/11/03 03:09:49,150600,0.028
2010/11/03 03:09:49,150800,-0.008
2010/11/03 03:09:49,151000,-0.060
2010/11/03 03:09:49,151200,0.002
2010/11/03 03:09:49,151400,-0.020
2010/11/03 03:09:49,151600,0.054
2010/11/03 03:09:49,151800,0.076
2010/11/03 03:09:49,152000,0.010
2010/11/03 03:09:49,152200,-0.046
2010/11/03 03:09:49,152400,-0.122
2010/11/03 03:09:49,152600,-0.076
2010/11/03 03:09:49,152800,0.040
2010/11/03 03:09:49,153000,0.034
2010/11/03 03:09:49,153200,-0.110
2010/11/03 03:09:49,153400,-0.210
2010/11/03 03:09:49,153600,-0.152
2010/11/03 03:09:49,153800,-0.102
2010/11/03 03:09:49,154000,-0.022
2010/11/03 03:09:49,154200,-0.018
2010/11/03 03:09:49,154400,-0.050
2010/11/03 03:09:49,154600,-0.084
2010/11/03 03:09:49,154800,-0.154
2010/11/03 03:09:49,155000,-0.148
2010/11/03 03:09:49,155200,-0.100
2010/11/03 03:09:49,155400,-0.098
2010/11/03 03:09:49,155600,-0.116
2010/11/03 03:09:49,155800,-0.072
2010/11/03 03:09:49,156000,-0.086
2010/11/03 03:09:49,156200,-0.096
2010/11/03 03:09:49,156400,-0.040
2010/11/03 03:09:49,156600,0.048
2010/11/03 03:09:49,156800,0.110
2010/11/03 03:09:49,157000,0.066
2010/11/03 03:09:49,157200,-0.080
2010/11/03 03:09:49,157400,-0.162
2010/11/03 03:09:49,157600,-0.096
2010/11/03 03:09:49,157800,0.102
2010/11/03 03:09:49,158000,0.154
2010/11/03 03:09:49,158200,0.116
2010/11/03 03:09:49,158400,0.014
2010/11/03 03:09:49,158600,0.006
2010/11/03 03:09:49,158800,0.062
2010/11/03 03:09:49,159000,0.116
2010/11/03 03:09:49,159200,0.150
2010/11/03 03:09:49,159400,0.124
2010/11/03 03:09:49,159600,0.106
2010/11/03 03:09:49,159800,0.060
2010/11/03 03:09:49,160000,0.114
2010/11/03 03:09:49,160200,0.152
2010/11/03 03:09:49,160400,0.186
2010/11/03 03:09:49,160600,0.154
2010/11/03 03:09:49,160800,0.162
2010/11/03 03:09:49,161000,0.096
2010/11/03 03:09:49,161200,0.060
2010/11/03 03:09:49,161400,0.072
2010/11/03 03:09:49,161600,0.118
2010/11/03 03:09:49,161800,0.154
2010/11/03 03:09:49,162000,0.126
2010/11/03 03:09:49,162200,0.046
2010/11/03 03:09:49,162400,0.020
2010/11/03 03:09:49,162600,-0.012
2010/11/03 03:09:49,162800,-0.008
2010/11/03 03:09:49,163000,-0.044
2010/11/03 03:09:49,163200,-0.020
2010/11/03 03:09:49,163400,-0.042
2010/11/03 03:09:49,163600,-0.106
2010/11/03 03:09:49,163800,-0.116
2010/11/03 03:09:49,164000,-0.036
2010/11/03 03:09:49,164200,0.012
2010/11/03 03:09:49,164400,0.022
2010/11/03 03:09:49,164600,0.004
2010/11/03 03:09:49,164800,-0.088
2010/11/03 03:09:49,165000,-0.130
2010/11/03 03:09:49,165200,-0.104
2010/11/03 03:09:49,165400,-0.094
2010/11/03 03:09:49,165600,-0.158
2010/11/03 03:09:49,165800,-0.098
2010/11/03 03:09:49,166000,-0.038
2010/11/03 03:09:49,166200,-0.126
2010/11/03 03:09:49,166400,-0.172
2010/11/03 03:09:49,166600,-0.112
2010/11/03 03:09:49,166800,0.002
2010/11/03 03:09:49,167000,0.004
2010/11/03 03:09:49,167200,-0.116
2010/11/03 03:09:49,167400,-0.214
2010/11/03 03:09:49,167600,-0.266
2010/11/03 03:09:49,167800,-0.100
2010/11/03 03:09:49,168000,0.072
2010/11/03 03:09:49,168200,0.058
2010/11/03 03:09:49,168400,-0.056
2010/11/03 03:09:49,168600,-0.084
2010/11/03 03:09:49,168800,-0.066
2010/11/03 03:09:49,169000,-0.074
2010/11/03 03:09:49,169200,0.038
2010/11/03 03:09:49,169400,0.190
2010/11/03 03:09:49,169600,0.172
2010/11/03 03:09:49,169800,0.076
2010/11/03 03:09:49,170000,-0.036
2010/11/03 03:09:49,170200,-0.036
2010/11/03 03:09:49,170400,0.066
2010/11/03 03:09:49,170600,0.014
2010/11/03 03:09:49,170800,-0.142
2010/11/03 03:09:49,171000,-0.230
2010/11/03 03:09:49,171200,-0.166
2010/11/03 03:09:49,171400,-0.068
2010/11/03 03:09:49,171600,-0.060
2010/11/03 03:09:49,171800,0.048
2010/11/03 03:09:49,172000,0.150
2010/11/03 03:09:49,172200,0.118
2010/11/03 03:09:49,172400,0.008
2010/11/03 03:09:49,172600,-0.028
2010/11/03 03:09:49,172800,-0.040
2010/11/03 03:09:49,173000,0.050
2010/11/03 03:09:49,173200,0.020
2010/11/03 03:09:49,173400,-0.094
2010/11/03 03:09:49,173600,-0.160
2010/11/03 03:09:49,173800,-0.170
2010/11/03 03:09:49,174000,-0.088
2010/11/03 03:09:49,174200,0.014
2010/11/03 03:09:49,174400,0.016
2010/11/03 03:09:49,174600,0.008
2010/11/03 03:09:49,174800,-0.072
2010/11/03 03:09:49,175000,-0.134
2010/11/03 03:09:49,175200,-0.188
2010/11/03 03:09:49,175400,-0.204
2010/11/03 03:09:49,175600,-0.166
2010/11/03 03:09:49,175800,-0.152
2010/11/03 03:09:49,176000,-0.204
2010/11/03 03:09:49,176200,-0.294
2010/11/03 03:09:49,176400,-0.166
2010/11/03 03:09:49,176600,-0.130
