#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:51:56,644000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:51:56,644000,0.074
2010/11/03 02:51:56,644200,0.042
2010/11/03 02:51:56,644400,-0.006
2010/11/03 02:51:56,644600,-0.022
2010/11/03 02:51:56,644800,0.028
2010/11/03 02:51:56,645000,0.072
2010/11/03 02:51:56,645200,0.062
2010/11/03 02:51:56,645400,0.012
2010/11/03 02:51:56,645600,-0.020
2010/11/03 02:51:56,645800,-0.032
2010/11/03 02:51:56,646000,-0.014
2010/11/03 02:51:56,646200,0.016
2010/11/03 02:51:56,646400,0.064
2010/11/03 02:51:56,646600,0.068
2010/11/03 02:51:56,646800,0.002
2010/11/03 02:51:56,647000,-0.028
2010/11/03 02:51:56,647200,-0.024
2010/11/03 02:51:56,647400,0.004
2010/11/03 02:51:56,647600,0.020
2010/11/03 02:51:56,647800,0.020
2010/11/03 02:51:56,648000,0.020
2010/11/03 02:51:56,648200,-0.014
2010/11/03 02:51:56,648400,-0.034
2010/11/03 02:51:56,648600,0.000
2010/11/03 02:51:56,648800,0.040
2010/11/03 02:51:56,649000,0.046
2010/11/03 02:51:56,649200,0.010
2010/11/03 02:51:56,649400,-0.026
2010/11/03 02:51:56,649600,-0.044
2010/11/03 02:51:56,649800,-0.010
2010/11/03 02:51:56,650000,-0.004
2010/11/03 02:51:56,650200,-0.018
2010/11/03 02:51:56,650400,-0.002
2010/11/03 02:51:56,650600,-0.050
2010/11/03 02:51:56,650800,-0.100
2010/11/03 02:51:56,651000,-0.046
2010/11/03 02:51:56,651200,0.050
2010/11/03 02:51:56,651400,0.058
2010/11/03 02:51:56,651600,0.014
2010/11/03 02:51:56,651800,-0.010
2010/11/03 02:51:56,652000,-0.020
2010/11/03 02:51:56,652200,-0.006
2010/11/03 02:51:56,652400,0.012
2010/11/03 02:51:56,652600,0.016
2010/11/03 02:51:56,652800,0.022
2010/11/03 02:51:56,653000,0.000
2010/11/03 02:51:56,653200,-0.050
2010/11/03 02:51:56,653400,-0.012
2010/11/03 02:51:56,653600,0.036
2010/11/03 02:51:56,653800,0.056
2010/11/03 02:51:56,654000,0.014
2010/11/03 02:51:56,654200,-0.012
2010/11/03 02:51:56,654400,-0.002
2010/11/03 02:51:56,654600,0.006
2010/11/03 02:51:56,654800,0.038
2010/11/03 02:51:56,655000,0.044
2010/11/03 02:51:56,655200,0.018
2010/11/03 02:51:56,655400,-0.024
2010/11/03 02:51:56,655600,-0.032
2010/11/03 02:51:56,655800,0.002
2010/11/03 02:51:56,656000,0.024
2010/11/03 02:51:56,656200,0.024
2010/11/03 02:51:56,656400,0.026
2010/11/03 02:51:56,656600,-0.018
2010/11/03 02:51:56,656800,-0.004
2010/11/03 02:51:56,657000,0.000
2010/11/03 02:51:56,657200,0.034
2010/11/03 02:51:56,657400,0.036
2010/11/03 02:51:56,657600,-0.006
2010/11/03 02:51:56,657800,-0.034
2010/11/03 02:51:56,658000,-0.050
2010/11/03 02:51:56,658200,-0.034
2010/11/03 02:51:56,658400,0.000
2010/11/03 02:51:56,658600,0.008
2010/11/03 02:51:56,658800,0.018
2010/11/03 02:51:56,659000,-0.020
2010/11/03 02:51:56,659200,-0.026
2010/11/03 02:51:56,659400,-0.026
2010/11/03 02:51:56,659600,0.008
2010/11/03 02:51:56,659800,0.020
2010/11/03 02:51:56,660000,0.006
2010/11/03 02:51:56,660200,-0.010
2010/11/03 02:51:56,660400,-0.060
2010/11/03 02:51:56,660600,-0.062
2010/11/03 02:51:56,660800,-0.050
2010/11/03 02:51:56,661000,-0.022
2010/11/03 02:51:56,661200,0.062
2010/11/03 02:51:56,661400,0.088
2010/11/03 02:51:56,661600,-0.002
2010/11/03 02:51:56,661800,-0.066
2010/11/03 02:51:56,662000,-0.052
2010/11/03 02:51:56,662200,0.026
2010/11/03 02:51:56,662400,0.046
2010/11/03 02:51:56,662600,0.024
2010/11/03 02:51:56,662800,0.002
2010/11/03 02:51:56,663000,-0.014
2010/11/03 02:51:56,663200,-0.020
2010/11/03 02:51:56,663400,0.004
2010/11/03 02:51:56,663600,0.036
2010/11/03 02:51:56,663800,0.066
2010/11/03 02:51:56,664000,0.044
2010/11/03 02:51:56,664200,0.000
2010/11/03 02:51:56,664400,-0.044
2010/11/03 02:51:56,664600,-0.018
2010/11/03 02:51:56,664800,0.018
2010/11/03 02:51:56,665000,0.044
2010/11/03 02:51:56,665200,0.040
2010/11/03 02:51:56,665400,0.012
2010/11/03 02:51:56,665600,0.010
2010/11/03 02:51:56,665800,0.016
2010/11/03 02:51:56,666000,0.022
2010/11/03 02:51:56,666200,0.030
2010/11/03 02:51:56,666400,0.004
2010/11/03 02:51:56,666600,-0.004
2010/11/03 02:51:56,666800,-0.020
2010/11/03 02:51:56,667000,-0.046
2010/11/03 02:51:56,667200,-0.030
2010/11/03 02:51:56,667400,-0.012
2010/11/03 02:51:56,667600,0.018
2010/11/03 02:51:56,667800,0.032
2010/11/03 02:51:56,668000,0.032
2010/11/03 02:51:56,668200,-0.006
2010/11/03 02:51:56,668400,-0.036
2010/11/03 02:51:56,668600,-0.006
2010/11/03 02:51:56,668800,0.000
2010/11/03 02:51:56,669000,0.008
2010/11/03 02:51:56,669200,0.000
2010/11/03 02:51:56,669400,-0.002
2010/11/03 02:51:56,669600,-0.022
2010/11/03 02:51:56,669800,-0.004
2010/11/03 02:51:56,670000,-0.004
2010/11/03 02:51:56,670200,0.000
2010/11/03 02:51:56,670400,0.054
2010/11/03 02:51:56,670600,0.034
2010/11/03 02:51:56,670800,-0.098
2010/11/03 02:51:56,671000,-0.096
2010/11/03 02:51:56,671200,0.092
2010/11/03 02:51:56,671400,0.126
2010/11/03 02:51:56,671600,-0.016
2010/11/03 02:51:56,671800,-0.114
2010/11/03 02:51:56,672000,-0.084
2010/11/03 02:51:56,672200,0.062
2010/11/03 02:51:56,672400,0.152
2010/11/03 02:51:56,672600,0.056
2010/11/03 02:51:56,672800,-0.044
2010/11/03 02:51:56,673000,-0.082
2010/11/03 02:51:56,673200,-0.020
2010/11/03 02:51:56,673400,0.022
2010/11/03 02:51:56,673600,0.082
2010/11/03 02:51:56,673800,0.104
2010/11/03 02:51:56,674000,0.030
2010/11/03 02:51:56,674200,-0.028
2010/11/03 02:51:56,674400,-0.060
2010/11/03 02:51:56,674600,-0.032
2010/11/03 02:51:56,674800,0.034
2010/11/03 02:51:56,675000,0.086
2010/11/03 02:51:56,675200,0.046
2010/11/03 02:51:56,675400,-0.072
2010/11/03 02:51:56,675600,-0.082
2010/11/03 02:51:56,675800,0.002
2010/11/03 02:51:56,676000,0.034
2010/11/03 02:51:56,676200,0.054
2010/11/03 02:51:56,676400,0.040
2010/11/03 02:51:56,676600,-0.008
2010/11/03 02:51:56,676800,-0.060
2010/11/03 02:51:56,677000,-0.040
2010/11/03 02:51:56,677200,0.008
2010/11/03 02:51:56,677400,0.030
2010/11/03 02:51:56,677600,0.030
2010/11/03 02:51:56,677800,-0.004
2010/11/03 02:51:56,678000,-0.060
2010/11/03 02:51:56,678200,-0.050
